Mixture	0	1	2	3	4	5
TCGA-27-2524-01	0.003765486	0.122635985	0.211855403	0	0.55311528	0.108627846
TCGA-76-4929-01	0.045462828	0.091919839	0.051928533	0.151945801	0.501362317	0.157380682
TCGA-14-0817-01	0.03066622	0.1475618	0.096965281	0.00069723	0.472255616	0.251853852
TCGA-26-5134-01	0.001812119	0.113102654	0	0.101062714	0.428065848	0.355956665
TCGA-19-5960-01	0.017155355	0.054091872	0.025879701	0.390662727	0.512210346	0
TCGA-28-5215-01	0.006924266	0.157803973	0	0.209554655	0.461758279	0.163958828
TCGA-19-2619-01	0	0.030237807	0	0.036934345	0.759112404	0.173715443
TCGA-14-1034-01	0.010317953	0.104792278	0.102189304	0.066224367	0.713439166	0.003036932
TCGA-14-1034-02	0	0	0.179420301	0.056825561	0.763754138	0
TCGA-15-1444-01	0.063267961	0.109802842	0	0.094974262	0.437545372	0.294409563
TCGA-06-5856-01	0.008384519	0.085780142	0.038184331	0.061024067	0.619146463	0.187480478
TCGA-32-4213-01	0.005999605	0.126114806	0.060949038	0.02646587	0.566140485	0.214330197
TCGA-06-0646-01	0	0.124484813	0.04573576	0.077992174	0.447963729	0.303823524
TCGA-19-2620-01	0.099890764	0.049293314	0.100060961	0.057389862	0.692700281	0.000664818
TCGA-06-0138-01	0.042436529	0.086539368	0.046214078	0	0.525071597	0.299738428
TCGA-41-4097-01	0.041364195	0.138140723	0.118460271	0.026437332	0.675597478	0
TCGA-28-5204-01	0	0.056067802	0	0.032633478	0.728338536	0.182960184
TCGA-32-2634-01	0.04710504	0.061852673	0.108416761	0.152845563	0.353196568	0.276583396
TCGA-76-4926-01	0.033268512	0.024213693	0.095486345	0.088070797	0.691918417	0.067042237
TCGA-32-1970-01	0.035993392	0.058084857	0	0.155791272	0.750130479	0
TCGA-06-0152-02	0	0.096951279	0	0.122206932	0.761541659	0.01930013
TCGA-15-0742-01	0	0.027251764	0.017695996	0.075354727	0.810264794	0.06943272
TCGA-06-0645-01	0.011094127	0.218121288	0.116833158	0.121029971	0.532921456	0
TCGA-27-2528-01	0	0.052170605	0	0	0.828361001	0.119468394
TCGA-14-0789-01	0	0.118381221	0.129062844	0.123410788	0.629145147	0
TCGA-08-0386-01	0.045037717	0.064948113	0.066996691	0.17675137	0.600538235	0.045727872
TCGA-76-4931-01	0	0.05270188	0	0.17025785	0.721418986	0.055621284
TCGA-27-1830-01	0.040895891	0.117378416	0.111904416	0.151088354	0.442761621	0.135971301
TCGA-06-0184-01	0.049452972	0.143250343	0.081199674	0	0.72609701	0
TCGA-12-3652-01	0.002865179	0.046371826	0.028761645	0.002895082	0.817935257	0.101171011
TCGA-06-0187-01	0	0.071251555	0.033645062	0.061281198	0.781696237	0.052125949
TCGA-14-1823-01	0	0.117946845	0.181083434	0	0.66772915	0.033240571
TCGA-02-2486-01	0.049547268	0.130871852	0.310489865	0.01125653	0.497834485	0
TCGA-19-1390-01	0.019633906	0.097921531	0	0.121095358	0.402365167	0.358984039
TCGA-06-0221-02	0.02882925	0.049510089	0	0.348947006	0.28070273	0.292010926
TCGA-32-1980-01	0.10619899	0.112125955	0.0997802	0.081644366	0.423933255	0.176317234
TCGA-06-0747-01	0	0.058814951	0.098829102	0.074851032	0.767504916	0
TCGA-06-0156-01	0.016981114	0.13402491	0.076722435	0.112331401	0.384043723	0.275896417
TCGA-06-0649-01	0.073897174	0.14959987	0.126392815	0.090082924	0.458016097	0.102011121
TCGA-28-5209-01	0	0.08645016	0	0.149256975	0.75382351	0.010469355
TCGA-28-5208-01	0	0.086682868	0	0	0.642084656	0.271232477
TCGA-06-0686-01	0.042992287	0.092592126	0.029028818	0.080754293	0.375381202	0.379251274
TCGA-76-4927-01	0.012838533	0.110262917	0.057980842	0.097969876	0.650840243	0.070107588
TCGA-28-5207-01	0.003158875	0.066661554	0.072812689	0.197471834	0.528028376	0.131866672
TCGA-06-0171-02	0.089056059	0.295069059	0.095991494	0.228879308	0.29100408	0
TCGA-06-2558-01	0.030856007	0.096527441	0	0.133066072	0.384414057	0.355136422
TCGA-14-1402-02	0.032195713	0.07462802	0.088266347	0	0.773011456	0.031898465
TCGA-06-0644-01	0	0.127623281	0.228169592	0	0.644207126	0
TCGA-06-2562-01	0	0.092819868	0.101976806	0.056051364	0.749151962	0
TCGA-06-2570-01	0	0.118697329	0	0.158550304	0.426052326	0.296700041
TCGA-06-2559-01	0	0.089618435	0.107913884	0.21185863	0.457391738	0.133217312
TCGA-26-5132-01	0.038526668	0.075588381	0.142073577	0.07661667	0.643533817	0.023660887
TCGA-12-5299-01	0	0.037493659	0.122230707	0.102126288	0.738149345	0
TCGA-06-0743-01	0.017329092	0.087155575	0.025769214	0.101380366	0.724040768	0.044324985
TCGA-06-0680-11	0.152720359	0	0.127984896	0.237670583	0.135611015	0.346013147
TCGA-41-2572-01	0.020827671	0.078726135	0.019912386	0.067127665	0.78536614	0.028040003
TCGA-06-0744-01	0	0.069641761	0.002862478	0.094948021	0.720000804	0.112546935
TCGA-06-0130-01	0	0.342656552	0.259479505	0	0.192465257	0.205398686
TCGA-06-0749-01	0.078901657	0.103803961	0.084282516	0.137651368	0.595360498	0
TCGA-06-1804-01	0.021799336	0.062334784	0.030217157	0.09496895	0.744485254	0.046194519
TCGA-06-0675-11	0.102703585	0.084125911	0.027452942	0.300722084	0.198169509	0.28682597
TCGA-19-2629-01	0.030944752	0.147918475	0.015531564	0.052009779	0.309468158	0.444127272
TCGA-06-5414-01	0	0.071678783	0.048074102	0.063170138	0.817076978	0
TCGA-06-5408-01	0	0.101478629	0.0752887	0.196820776	0.626411896	0
TCGA-19-4065-02	0.03817466	0.110384173	0.370415987	0	0.312392433	0.168632747
TCGA-06-2569-01	0	0.308505398	0.329483637	0	0	0.362010964
TCGA-14-0736-02	0.077262758	0.122331865	0.176809091	0	0.434928945	0.188667342
TCGA-26-5133-01	0	0.087107476	0.005799038	0.033908383	0.503074963	0.37011014
TCGA-19-0957-02	0.153319203	0.111386705	0.058768348	0.191409147	0.428879456	0.056237141
TCGA-06-0190-02	0.010571068	0.208923927	0.366762315	0	0.288795072	0.124947617
TCGA-32-2632-01	0.035360673	0.138224352	0.055148367	0.059481693	0.711784915	0
TCGA-76-4925-01	0	0.023776703	0.144647752	0.101287844	0.728379576	0.001908125
TCGA-19-4065-01	0	0.082609718	0.184620947	0.015610249	0.701536659	0.015622427
TCGA-06-0745-01	0	0.1194026	0	0	0.556062365	0.324535035
TCGA-27-2519-01	0.01851505	0.111911879	0.094167733	0.192473002	0.50642722	0.076505116
TCGA-14-0790-01	0.034193944	0.035347732	0	0.059778846	0.782144338	0.088535139
TCGA-14-1829-01	0.062862671	0.084347093	0.127474169	0	0.605500179	0.119815889
TCGA-28-2514-01	0	0.05655439	0.008934508	0.180459589	0.641392926	0.112658588
TCGA-06-0878-01	0	0.114190948	0.097411861	0.038222174	0.63007995	0.120095067
TCGA-06-0678-11	0.137235925	0.00700805	0.114297046	0.234880929	0.301259419	0.20531863
TCGA-06-5859-01	0.030641618	0.1077649	0.006831925	0.178031368	0.676730189	0
TCGA-19-2624-01	0	0.070325025	0.009660292	0.260320842	0.438700114	0.220993727
TCGA-02-0055-01	0.022641732	0.232981191	0.325259998	0	0.41911708	0
TCGA-06-0211-02	0	0.11201956	0.07236378	0.070528182	0.607495049	0.137593429
TCGA-06-5416-01	0	0.040840632	0.096422498	0.010032705	0.421702962	0.431001203
TCGA-27-1837-01	0	0.074239773	0	0.109636864	0.655730434	0.160392929
TCGA-06-0132-01	0.101300144	0.206346321	0	0.169778104	0.522575431	0
TCGA-06-5858-01	0.075160241	0.085143487	0.122667929	0.19107244	0.525955903	0
TCGA-27-2521-01	0.032828653	0.049499464	0.0748991	0.070266049	0.374875426	0.397631308
TCGA-14-0871-01	0	0.124681572	0.474727999	0	0.027102	0.373488429
TCGA-32-2638-01	0.005735949	0.099767937	0.063343728	0.053943991	0.767922295	0.0092861
TCGA-28-2510-01	0.137547358	0.08124269	0.018655417	0.183557395	0.409422496	0.169574643
TCGA-26-1442-01	0.039299511	0.041668337	0.032136696	0.121516735	0.416898859	0.34847986
TCGA-06-5410-01	0.099234021	0.268116958	0.083670669	0.07044298	0.478535373	0
TCGA-41-5651-01	0.028898433	0.074557305	0	0.370000848	0.310037328	0.216506086
TCGA-06-2564-01	0.008871106	0.068988234	0.025132195	0.146552286	0.695324848	0.055131332
TCGA-06-0882-01	0.040538905	0.089139195	0.082045576	0.024794718	0.644924241	0.118557364
TCGA-12-0619-01	0.006648693	0.167971378	0.155952964	0.126734856	0.54269211	0
TCGA-14-0781-01	0.01131201	0.073447464	0.173408284	0.012779786	0.729052456	0
TCGA-41-2571-01	0.091483479	0.073157026	0.095987385	0.259267324	0.247327907	0.232776881
TCGA-06-0129-01	0.002683031	0.142113661	0	0.191737902	0.352301744	0.311163662
TCGA-19-2625-01	0.032664442	0.035049759	0.286369025	0.048387528	0.597529246	0
TCGA-06-2565-01	0	0.09117048	0	0.111275225	0.663783812	0.133770483
TCGA-02-2485-01	0	0.055959701	0	0.21133849	0.715168891	0.017532918
TCGA-06-0210-01	0.018968909	0.082886595	0.165973946	0	0.685127347	0.047043204
TCGA-06-0210-02	0.052289502	0.152884383	0.067850281	0.184029561	0.542946274	0
TCGA-02-0047-01	0.030113499	0.096141505	0.094357145	0.11652353	0.39510587	0.267758452
TCGA-06-0750-01	0.011968419	0.108801111	0.13321495	0.028709931	0.609457902	0.107847687
TCGA-32-1982-01	0.003570688	0.117748698	0.059871739	0.091108359	0.681914621	0.045785896
